Fabric_Care
"['Cotton 95%, Recycled Cotton 5%', 'Machine wash', 'Imported']"
"['Elastane 1%, Recycled Cotton 7%, Cotton 87%, Recycled Polyester 5%', 'Machine wash', 'Imported']"
"['Recycled Cotton 7%, Cotton 84%, Elasterrell 7%, LYCRA® 2%', 'Machine wash', 'Imported']"
"['Elastane 1%, Recycled Cotton 7%, Recycled Polyester 5%, Cotton 87%', 'Machine wash', 'Imported']"
"['Cotton 94%, Recycled Cotton 5%, Elastane 1%', 'Machine wash', 'Imported']"
"['Cotton 81%, Recycled Cotton 13%, Elasterrell 4%, Elastane 2%', 'Machine wash', 'Imported']"
"['Cotton 94%, Recycled Cotton 5%, Elastane 1%', 'Machine wash', 'Imported']"
"['Cotton 87%, Recycled Polyester 7%, Polyester 5%', 'Machine wash', 'Imported']"
"['Recycled Cotton 13%, Elasterrell 4%, Elastane 2%, Cotton 81%', 'Machine wash', 'Imported']"
"['Cotton 86%, Recycled Cotton 7%, Recycled Polyester 6%, Elastane 1%', 'Machine wash', 'Imported']"
"['Cotton 95%, Recycled Cotton 5%', 'Machine wash', 'Imported']"
"['Recycled Cotton 13%, Elasterrell 4%, Elastane 2%, Cotton 81%', 'Machine wash', 'Imported']"
"['Cotton 83%, Polyester 11%, Recycled Cotton 5%, Elastane 1%, Spandex null%', 'Machine wash', 'Imported']"
"['Cotton 94%, Recycled Cotton 5%, Elastane 1%', 'Machine wash', 'Imported']"
"['Cotton 75%, Rayon 18%, Recycled Cotton 5%, Spandex 2%', 'Machine wash', 'Imported']"
"['Cotton 86%, Recycled Cotton 7%, Recycled Polyester 6%, Elastane 1%', 'Machine wash', 'Imported']"
"['Elasterrell 4%, Recycled Cotton 13%, Cotton 81%, Elastane 2%', 'Machine wash', 'Imported']"
"['Cotton 95%, Recycled Cotton 5%', 'Machine wash', 'Imported']"
"['Cotton 95%, Recycled Cotton 5%', 'Machine wash', 'Imported']"
"['Cotton 94%, Recycled Cotton 5%, Elastane 1%', 'Machine wash', 'Imported']"
"['Cotton 95%, Recycled Cotton 5%', 'Machine wash', 'Imported']"
"['Cotton 95%, Recycled Cotton 5%', 'Machine wash', 'Imported']"
"['Cotton 95%, Recycled Cotton 5%', 'Machine wash', 'Imported']"
"['Cotton 95%, Recycled Cotton 5%', 'Cotton 95%, Recycled Cotton 5%', 'Machine wash', 'Machine wash', 'Imported', 'Imported']"
"['Recycled Cotton 5%, Cotton 95%', 'Recycled Cotton 5%, Cotton 95%', 'Machine wash', 'Machine wash', 'Imported', 'Imported']"
"['Cotton 95%, Recycled Cotton 5%', 'Cotton 95%, Recycled Cotton 5%', 'Machine wash', 'Machine wash', 'Imported', 'Imported']"
"['Cotton 94%, Elastane 1%, Recycled Cotton 5%', 'Machine wash', 'Imported']"
"['Cotton 94%, Recycled Cotton 5%, Elastane 1%', 'Machine wash', 'Imported']"
"['Cotton 84%, Recycled Cotton 7%, Elasterrell 7%, LYCRA® 2%', 'Machine wash', 'Imported']"
"['Camel Hair Brown & Black: 100% Recycled Polyester', 'Dark Olive Green: 100% Nylon', 'Machine wash', 'Imported']"
"['Camel Hair Brown & Black: 100% Recycled Polyester', 'Dark Olive Green: 100% Nylon', 'Machine wash', 'Imported']"
"['Camel Hair Brown & Black: 100% Recycled Polyester', 'Dark Olive Green: 100% Nylon', 'Machine wash', 'Imported']"
"['Camel Hair Brown & Black: 100% Recycled Polyester', 'Dark Olive Green: 100% Nylon', 'Machine wash', 'Imported']"
"['Camel Hair Brown & Black: 100% Recycled Polyester', 'Dark Olive Green: 100% Nylon', 'Machine wash', 'Imported']"
"['Polyester 70%, Recycled Polyester 30%', 'Machine wash', 'Imported']"
"['Polyester 70%, Recycled Polyester 30%', 'Machine wash', 'Imported']"
"['Recycled Wool 50%, Polyester 40%, Other 10%', 'Dry clean', 'Imported']"
"['Polyester 70%, Recycled Polyester 30%', 'Machine wash', 'Imported']"
"['Recycled Wool 50%, Polyester 40%, Other 10%', 'Dry clean', 'Imported']"
"['Recycled Polyester 100%', 'Machine wash', 'Imported']"
"['Recycled Polyester 100%', 'Machine wash', 'Imported']"
"['Recycled Nylon 100%', 'Machine wash', 'Imported']"
"['Polyester 75%, Recycled Polyester 25%', 'Machine wash', 'Imported']"
"['Polyester 70%, Recycled Polyester 30%', 'Machine wash', 'Imported']"
"['Polyester 70%, Recycled Polyester 30%', 'Machine wash', 'Imported']"
"['Recycled Polyester 79%, Elastane 21%', 'Machine wash', 'Imported']"
"['Black: 100% Recycled Polyester', 'Silver: 100% Nylon', 'Machine wash', 'Imported']"
"['Recycled Wool 50%, Polyester 40%, Other 10%', 'Dry clean', 'Imported']"
"['Recycled Polyester 79%, Elastane 21%', 'Machine wash', 'Imported']"
"['Polyester 75%, Recycled Polyester 25%', 'Machine wash', 'Imported']"
"['Recycled Nylon 100%', 'Machine wash', 'Imported']"
"['Wool 50%, Recycled Polyester 45%, Acrylic 5%', 'Machine wash', 'Imported']"
"['Wool 50%, Recycled Polyester 45%, Acrylic 5%', 'Machine wash', 'Imported']"
